image_id,filename,overall_score,hard_failure_reasons,score_focus,score_brightness,score_contrast,score_noise,score_fov,score_illumination,score_artifact
aptos_014508ccb9cb,aptos_014508ccb9cb.png,0.6819,Severe Non-Uniform Illumination (Map CoV=0.533 > 0.52),0.2773,0.6269,1.0,0.9016,0.9839,0.3082,1.0
aptos_0180bfa26c0b,aptos_0180bfa26c0b.png,0.7302,"Severe Defocus Blur (NormLap=12.2 < 8.0, RawLap=3.75, Tenengrad=62.6)",0.0925,0.7792,1.0,0.9483,1.0,0.9536,1.0
aptos_033f2b43de6d,aptos_033f2b43de6d.png,0.6907,Severe Underexposure (Retinal Mean Intensity=39.2 < 40.0),0.6141,0.0413,1.0,0.9286,0.9995,0.3818,1.0
aptos_05195a3db5e2,aptos_05195a3db5e2.png,0.7183,"Severe Defocus Blur (NormLap=6.2 < 8.0, RawLap=9.64, Tenengrad=238.3)",0.2513,0.5243,1.0,0.9176,0.9839,0.8745,1.0
aptos_09eeafa9656a,aptos_09eeafa9656a.png,0.777,"Severe Defocus Blur (NormLap=38.1 < 8.0, RawLap=3.86, Tenengrad=62.1)",0.421,0.5128,1.0,0.9488,1.0,1.0,1.0
aptos_0b00f8a77510,aptos_0b00f8a77510.png,0.6866,"Severe Defocus Blur (NormLap=5.7 < 8.0, RawLap=8.91, Tenengrad=256.5)",0.2632,0.3472,0.9862,0.9174,0.9839,0.8148,1.0
aptos_0b2ea8f268cf,aptos_0b2ea8f268cf.png,0.7417,"Severe Defocus Blur (NormLap=7.7 < 8.0, RawLap=12.01, Tenengrad=360.2)",0.3179,0.5729,1.0,0.9059,0.984,0.8812,1.0
aptos_0b64a0a06f9a,aptos_0b64a0a06f9a.png,0.7311,"Severe Defocus Blur (NormLap=6.9 < 8.0, RawLap=10.85, Tenengrad=412.4)",0.3396,0.7069,1.0,0.9131,0.9839,0.7759,0.7368
aptos_0cecc2864b7f,aptos_0cecc2864b7f.png,0.7208,"Severe Defocus Blur (NormLap=6.4 < 8.0, RawLap=9.94, Tenengrad=323.3)",0.3005,0.536,1.0,0.9141,0.984,0.7626,1.0
aptos_0da321efbce6,aptos_0da321efbce6.png,0.7021,"Severe Defocus Blur (NormLap=4.8 < 8.0, RawLap=7.45, Tenengrad=249.5)",0.2588,0.4885,1.0,0.9251,0.9839,0.7403,1.0
aptos_0fbbd665431f,aptos_0fbbd665431f.png,0.6324,"Severe Defocus Blur (NormLap=5.3 < 8.0, RawLap=8.35, Tenengrad=180.6)",0.2067,0.3842,0.644,0.9226,0.9839,0.8659,1.0
aptos_0fc6829da85b,aptos_0fc6829da85b.png,0.6868,Severe Underexposure (Retinal Mean Intensity=36.4 < 40.0),0.5764,0.2274,0.4384,0.93,0.9987,1.0,1.0
aptos_164cd5a3a6cd,aptos_164cd5a3a6cd.png,0.7219,"Severe Defocus Blur (NormLap=24.8 < 8.0, RawLap=3.88, Tenengrad=37.8)",0.2617,0.5983,0.8147,0.95,0.9966,1.0,1.0
aptos_184a185e7447,aptos_184a185e7447.png,0.7222,"Severe Defocus Blur (NormLap=6.9 < 8.0, RawLap=10.77, Tenengrad=265.0)",0.2685,0.5746,1.0,0.9146,0.984,0.7984,1.0
aptos_18621b9ca978,aptos_18621b9ca978.png,0.6979,"Severe Defocus Blur (NormLap=4.9 < 8.0, RawLap=7.70, Tenengrad=197.2)",0.2209,0.4878,1.0,0.9261,0.9839,0.7933,1.0
aptos_18d8fdb140b7,aptos_18d8fdb140b7.png,0.7978,"Severe Defocus Blur (NormLap=37.7 < 8.0, RawLap=3.83, Tenengrad=59.0)",0.4099,0.7835,0.8862,0.949,1.0,1.0,1.0
aptos_1b8701231c8f,aptos_1b8701231c8f.png,0.6509,"Severe Defocus Blur (NormLap=4.4 < 8.0, RawLap=6.84, Tenengrad=109.2)",0.1257,0.4569,0.8504,0.9327,0.984,0.8254,1.0
aptos_1c0e5dd1b14c,aptos_1c0e5dd1b14c.png,0.8178,"Severe Defocus Blur (NormLap=32.4 < 8.0, RawLap=3.28, Tenengrad=72.1)",0.3978,0.8206,1.0,0.9531,1.0,1.0,1.0
aptos_1d11794057ff,aptos_1d11794057ff.png,0.7305,"Severe Defocus Blur (NormLap=6.6 < 8.0, RawLap=10.28, Tenengrad=358.1)",0.3169,0.633,1.0,0.9141,0.984,0.6726,1.0
aptos_1f543a86c4d4,aptos_1f543a86c4d4.png,0.8262,"Severe Defocus Blur (NormLap=33.8 < 8.0, RawLap=3.42, Tenengrad=43.1)",0.3512,0.9789,0.9754,0.9523,1.0,1.0,1.0
aptos_2221cf5c7935,aptos_2221cf5c7935.png,0.7851,"Severe Corneal Glare Artifacts (5 blobs, 0.83% saturation)",0.7861,0.7718,1.0,0.9128,0.9963,0.8206,0.0
aptos_240b25a7debe,aptos_240b25a7debe.png,0.7053,"Severe Defocus Blur (NormLap=7.9 < 8.0, RawLap=12.34, Tenengrad=323.8); Severe Non-Uniform Illumination (Map CoV=0.587 > 0.52)",0.3007,0.7118,1.0,0.9075,0.9839,0.35,1.0
aptos_26d60db3bbfd,aptos_26d60db3bbfd.png,0.6753,"Severe Defocus Blur (NormLap=6.8 < 8.0, RawLap=10.66, Tenengrad=208.2)",0.2296,0.4599,0.7696,0.9128,0.9839,0.9459,1.0
aptos_27f82ada84ac,aptos_27f82ada84ac.png,0.6068,"Severe Defocus Blur (NormLap=3.7 < 8.0, RawLap=5.73, Tenengrad=131.7)",0.1559,0.3833,0.5698,0.9368,0.9839,0.8359,1.0
aptos_28a4d00927b7,aptos_28a4d00927b7.png,0.6977,Severe Underexposure (Retinal Mean Intensity=32.7 < 40.0),0.563,0.0,0.8826,0.9321,1.0,0.8141,1.0
aptos_29f44aea93a4,aptos_29f44aea93a4.png,0.837,"Severe Defocus Blur (NormLap=36.1 < 8.0, RawLap=3.66, Tenengrad=68.2)",0.42,0.9132,1.0,0.9504,1.0,1.0,1.0
aptos_2a7373eeb352,aptos_2a7373eeb352.png,0.7059,"Severe Defocus Blur (NormLap=6.0 < 8.0, RawLap=9.37, Tenengrad=331.6)",0.3046,0.5418,1.0,0.9191,0.9839,0.5894,1.0
aptos_2c77bf969079,aptos_2c77bf969079.png,0.7167,Severe Underexposure (Retinal Mean Intensity=37.2 < 40.0),0.5864,0.2411,0.61,0.9287,0.9973,1.0,1.0
aptos_2e79041ef722,aptos_2e79041ef722.png,0.6934,Severe Underexposure (Retinal Mean Intensity=37.1 < 40.0),0.5787,0.0,1.0,0.9298,0.999,0.5588,1.0
aptos_2f8d14a7d390,aptos_2f8d14a7d390.png,0.6865,Severe Underexposure (Retinal Mean Intensity=39.5 < 40.0),0.5722,0.2904,0.3807,0.9306,0.9984,1.0,1.0
aptos_3286073a976e,aptos_3286073a976e.png,0.7353,"Severe Defocus Blur (NormLap=6.5 < 8.0, RawLap=10.18, Tenengrad=273.6)",0.2736,0.6312,1.0,0.9177,0.984,0.8287,1.0
aptos_345b1f0abbba,aptos_345b1f0abbba.png,0.7475,"Severe Corneal Glare Artifacts (5 blobs, 1.00% saturation)",0.7062,0.6334,1.0,0.919,0.9967,0.8457,0.0
aptos_352e4a939242,aptos_352e4a939242.png,0.6702,"Severe Corneal Glare Artifacts (19 blobs, 0.90% saturation)",0.9205,0.6483,0.7215,0.7048,0.8401,0.3811,0.0
aptos_36e4b704b905,aptos_36e4b704b905.png,0.677,"Severe Defocus Blur (NormLap=5.3 < 8.0, RawLap=8.22, Tenengrad=218.1)",0.2371,0.482,1.0,0.9249,0.9839,0.5534,1.0
aptos_387138ddf43d,aptos_387138ddf43d.png,0.5903,"Severe Defocus Blur (NormLap=5.4 < 8.0, RawLap=8.43, Tenengrad=148.7)",0.1755,0.3502,0.3985,0.9228,0.9839,0.943,1.0
aptos_3ac3fbfca7d4,aptos_3ac3fbfca7d4.png,0.8017,"Severe Defocus Blur (NormLap=38.7 < 8.0, RawLap=3.92, Tenengrad=96.7)",0.4966,0.5521,1.0,0.9478,1.0,1.0,1.0
aptos_3b10191dfd25,aptos_3b10191dfd25.png,0.7533,"Severe Defocus Blur (NormLap=7.1 < 8.0, RawLap=11.14, Tenengrad=429.1)",0.346,0.6711,1.0,0.9048,0.9839,0.7803,1.0
aptos_3b232b394e4f,aptos_3b232b394e4f.png,0.7155,"Severe Corneal Glare Artifacts (9 blobs, 0.72% saturation)",0.8291,0.1246,1.0,0.9021,0.9956,1.0,0.0
aptos_3c326543fff6,aptos_3c326543fff6.png,0.8091,Severe Flash Bleaching (Retinal Mean Intensity=145.2 > 140.0),0.8929,0.1756,1.0,0.7376,0.9518,0.9297,1.0
aptos_417f408ee8e0,aptos_417f408ee8e0.png,0.6635,Severe Underexposure (Retinal Mean Intensity=29.9 < 40.0),0.5655,0.0,0.5814,0.932,1.0,0.9172,1.0
aptos_41960d5f58c2,aptos_41960d5f58c2.png,0.782,"Severe Corneal Glare Artifacts (5 blobs, 0.60% saturation)",0.727,0.73,1.0,0.9122,0.9971,1.0,0.0
aptos_42a67337fa8e,aptos_42a67337fa8e.png,0.7543,Severe Underexposure (Retinal Mean Intensity=37.4 < 40.0),0.7141,0.0916,0.8817,0.9234,0.9984,0.8763,1.0
aptos_436fa3fd145a,aptos_436fa3fd145a.png,0.7378,Severe Underexposure (Retinal Mean Intensity=35.9 < 40.0),0.9325,0.1491,1.0,0.409,0.9451,0.4966,1.0
aptos_441848e0f308,aptos_441848e0f308.png,0.6652,"Severe Defocus Blur (NormLap=5.9 < 8.0, RawLap=9.15, Tenengrad=183.0)",0.2089,0.4901,0.8238,0.9213,0.9839,0.7614,1.0
aptos_4860f7813654,aptos_4860f7813654.png,0.7177,Severe Underexposure (Retinal Mean Intensity=35.3 < 40.0),0.5929,0.2061,0.6399,0.9288,0.9979,1.0,1.0
aptos_49e4b95ee2dc,aptos_49e4b95ee2dc.png,0.6876,Severe Underexposure (Retinal Mean Intensity=38.3 < 40.0),0.5699,0.2654,0.436,0.9312,0.9979,0.9707,1.0
aptos_4a05f81b3aba,aptos_4a05f81b3aba.png,0.7005,"Severe Defocus Blur (NormLap=5.6 < 8.0, RawLap=8.79, Tenengrad=295.6)",0.2861,0.5381,1.0,0.9184,0.9839,0.5887,1.0
aptos_4a693dd3921a,aptos_4a693dd3921a.png,0.7387,Severe Underexposure (Retinal Mean Intensity=33.5 < 40.0),0.6417,0.04,1.0,0.93,0.9999,0.7925,1.0
aptos_4a7dc013e802,aptos_4a7dc013e802.png,0.6137,Severe Underexposure (Retinal Mean Intensity=29.6 < 40.0),0.5601,0.0,0.4343,0.9323,1.0,0.6531,1.0
aptos_4b6895d0cf8d,aptos_4b6895d0cf8d.png,0.681,"Severe Defocus Blur (NormLap=5.3 < 8.0, RawLap=8.27, Tenengrad=244.5)",0.2555,0.4092,1.0,0.9218,0.984,0.66,1.0
aptos_4c60f6fcea75,aptos_4c60f6fcea75.png,0.6758,"Severe Defocus Blur (NormLap=4.2 < 8.0, RawLap=6.64, Tenengrad=145.6)",0.1721,0.494,1.0,0.9338,0.9839,0.677,1.0
aptos_4c6c5a1bf5ab,aptos_4c6c5a1bf5ab.png,0.7509,"Severe Defocus Blur (NormLap=7.6 < 8.0, RawLap=11.91, Tenengrad=436.0)",0.3486,0.6022,1.0,0.9032,0.9839,0.8549,1.0
aptos_4cddfc22b0ad,aptos_4cddfc22b0ad.png,0.7029,"Severe Defocus Blur (NormLap=5.8 < 8.0, RawLap=8.99, Tenengrad=234.5)",0.2488,0.4814,1.0,0.9201,0.9839,0.7887,1.0
aptos_4ce74e5eb51d,aptos_4ce74e5eb51d.png,0.7925,"Severe Defocus Blur (NormLap=35.6 < 8.0, RawLap=3.61, Tenengrad=48.5)",0.3662,0.8013,0.9048,0.9506,1.0,1.0,1.0
aptos_4dd7b322f342,aptos_4dd7b322f342.png,0.5782,Severe Sensor Saturation (Saturated Pixel Pct=1.73% > 1.5%); Severe Non-Uniform Illumination (Map CoV=0.681 > 0.52),0.6033,0.5751,0.5648,0.7055,0.9839,0.3222,0.0607
aptos_4e8585a96739,aptos_4e8585a96739.png,0.7451,"Severe Defocus Blur (NormLap=7.3 < 8.0, RawLap=11.46, Tenengrad=337.6)",0.3074,0.6076,1.0,0.9084,0.9839,0.8869,1.0
aptos_5056fa7d505f,aptos_5056fa7d505f.png,0.736,"Severe Defocus Blur (NormLap=5.6 < 8.0, RawLap=8.72, Tenengrad=294.4)",0.2854,0.6753,1.0,0.9237,0.984,0.7343,1.0
aptos_5078caaf1f57,aptos_5078caaf1f57.png,0.6907,"Severe Defocus Blur (NormLap=5.4 < 8.0, RawLap=8.43, Tenengrad=149.8)",0.1766,0.5289,0.9409,0.9272,0.984,0.8573,1.0
aptos_50d8249f7bc9,aptos_50d8249f7bc9.png,0.733,Severe Sensor Saturation (Saturated Pixel Pct=1.53% > 1.5%),0.8889,0.3603,1.0,0.7232,0.949,0.92,0.0
aptos_50d8a8fb7737,aptos_50d8a8fb7737.png,0.7667,Extreme Center/Edge Vignetting (Ratio=1.95 > 1.85),0.7065,0.4912,1.0,0.9253,0.9988,0.2408,1.0
aptos_51aa3361294c,aptos_51aa3361294c.png,0.7217,"Severe Defocus Blur (NormLap=6.0 < 8.0, RawLap=9.34, Tenengrad=269.5)",0.2712,0.5693,1.0,0.9174,0.9839,0.7916,1.0
aptos_51d0034d177d,aptos_51d0034d177d.png,0.6636,Severe Underexposure (Retinal Mean Intensity=33.1 < 40.0),0.5683,0.0,0.6095,0.9313,0.9995,0.8706,1.0
