image_id,filename,original_status,original_overall_score,final_status,final_overall_score,focus_score,brightness_score,contrast_score,noise_score,fov_score,illumination_score,artifact_score,raw_focus_metrics,raw_brightness_metrics,raw_contrast_metrics,raw_noise_metrics,raw_fov_metrics,raw_illumination_metrics,raw_artifact_metrics,detected_problems,hard_failure,hard_failure_reasons,enhancement_required,enhancement_applied,enhancement_operations,post_enhancement_status,post_enhancement_score,score_delta,ok_to_go,recapture_required,feedback,final_reason,processing_time_ms
aptos_000c1434d8d7,aptos_000c1434d8d7.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.8572,0.6939,0.8138,0.7936,0.9265,1.0,1.0,1.0,"{""var_laplacian"": 7.74, ""laplacian_energy"": 7.74, ""tenengrad"": 97.45, ""sobel_mean"": 8.17}","{""mean"": 67.99, ""median"": 68.0, ""p5"": 52.0, ""p95"": 87.0, ""dark_pct"": 0.75, ""bright_pct"": 0.0}","{""rms"": 14.12, ""grayscale_std"": 14.12, ""spread_p95_p5"": 35.0, ""michelson"": 0.252}","{""residual_std"": 0.81, ""residual_mad"": 0.49, ""local_var_mean"": 3.08}","{""coverage"": 0.751, ""circularity"": 0.934, ""aspect_ratio"": 1.271, ""border_clipped"": true}","{""center_edge_ratio"": 1.103, ""center_edge_diff"": 6.72, ""map_cov"": 0.151}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.8572,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.857 >= 0.7, Min Dimension = 0.694)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.857 >= 0.7, Min Dimension = 0.694))",1.12
aptos_001639a390f0,aptos_001639a390f0.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.7806,0.4477,0.9339,0.5608,0.9451,1.0,1.0,1.0,"{""var_laplacian"": 4.39, ""laplacian_energy"": 4.39, ""tenengrad"": 58.23, ""sobel_mean"": 5.66}","{""mean"": 98.82, ""median"": 99.0, ""p5"": 87.0, ""p95"": 112.0, ""dark_pct"": 0.78, ""bright_pct"": 0.0}","{""rms"": 12.01, ""grayscale_std"": 12.01, ""spread_p95_p5"": 25.0, ""michelson"": 0.126}","{""residual_std"": 0.6, ""residual_mad"": 0.31, ""local_var_mean"": 2.12}","{""coverage"": 0.752, ""circularity"": 0.932, ""aspect_ratio"": 1.271, ""border_clipped"": true}","{""center_edge_ratio"": 1.055, ""center_edge_diff"": 5.29, ""map_cov"": 0.138}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.7806,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.781 >= 0.7, Min Dimension = 0.448)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.781 >= 0.7, Min Dimension = 0.448))",0.86
aptos_0024cdab0c1e,aptos_0024cdab0c1e.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.852,0.6528,0.9202,0.7288,0.9149,1.0,1.0,1.0,"{""var_laplacian"": 10.32, ""laplacian_energy"": 10.32, ""tenengrad"": 125.56, ""sobel_mean"": 8.97}","{""mean"": 79.36, ""median"": 79.0, ""p5"": 62.0, ""p95"": 100.0, ""dark_pct"": 0.69, ""bright_pct"": 0.0}","{""rms"": 13.53, ""grayscale_std"": 13.53, ""spread_p95_p5"": 38.0, ""michelson"": 0.235}","{""residual_std"": 0.94, ""residual_mad"": 0.58, ""local_var_mean"": 3.73}","{""coverage"": 0.838, ""circularity"": 0.927, ""aspect_ratio"": 1.302, ""border_clipped"": true}","{""center_edge_ratio"": 1.052, ""center_edge_diff"": 4.08, ""map_cov"": 0.168}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.852,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.852 >= 0.7, Min Dimension = 0.653)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.852 >= 0.7, Min Dimension = 0.653))",0.87
aptos_002c21358ce6,aptos_002c21358ce6.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.9053,0.8733,0.8868,1.0,0.5398,1.0,1.0,1.0,"{""var_laplacian"": 49.04, ""laplacian_energy"": 49.04, ""tenengrad"": 705.85, ""sobel_mean"": 16.69}","{""mean"": 105.09, ""median"": 106.0, ""p5"": 79.0, ""p95"": 136.0, ""dark_pct"": 2.94, ""bright_pct"": 0.0}","{""rms"": 24.94, ""grayscale_std"": 24.94, ""spread_p95_p5"": 57.0, ""michelson"": 0.265}","{""residual_std"": 1.96, ""residual_mad"": 1.11, ""local_var_mean"": 26.46}","{""coverage"": 0.812, ""circularity"": 0.991, ""aspect_ratio"": 1.0, ""border_clipped"": true}","{""center_edge_ratio"": 1.22, ""center_edge_diff"": 21.92, ""map_cov"": 0.212}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.9053,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.905 >= 0.7, Min Dimension = 0.540)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.905 >= 0.7, Min Dimension = 0.540))",0.77
aptos_005b95c28852,aptos_005b95c28852.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.8148,0.8945,0.442,1.0,0.5331,0.9468,0.7955,1.0,"{""var_laplacian"": 56.49, ""laplacian_energy"": 56.49, ""tenengrad"": 311.46, ""sobel_mean"": 15.41}","{""mean"": 47.33, ""median"": 45.0, ""p5"": 28.0, ""p95"": 70.0, ""dark_pct"": 1.56, ""bright_pct"": 0.0}","{""rms"": 17.01, ""grayscale_std"": 17.01, ""spread_p95_p5"": 42.0, ""michelson"": 0.429}","{""residual_std"": 1.97, ""residual_mad"": 1.46, ""local_var_mean"": 8.2}","{""coverage"": 0.478, ""circularity"": 0.997, ""aspect_ratio"": 1.0, ""border_clipped"": false}","{""center_edge_ratio"": 1.265, ""center_edge_diff"": 11.05, ""map_cov"": 0.366}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.8148,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.815 >= 0.7, Min Dimension = 0.442)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.815 >= 0.7, Min Dimension = 0.442))",0.77
aptos_0083ee8054ee,aptos_0083ee8054ee.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.8637,0.7673,0.9762,0.5752,0.8918,1.0,1.0,1.0,"{""var_laplacian"": 16.14, ""laplacian_energy"": 16.14, ""tenengrad"": 141.38, ""sobel_mean"": 10.14}","{""mean"": 86.83, ""median"": 87.0, ""p5"": 75.0, ""p95"": 103.0, ""dark_pct"": 0.87, ""bright_pct"": 0.0}","{""rms"": 12.14, ""grayscale_std"": 12.14, ""spread_p95_p5"": 28.0, ""michelson"": 0.157}","{""residual_std"": 1.12, ""residual_mad"": 0.81, ""local_var_mean"": 3.94}","{""coverage"": 0.761, ""circularity"": 0.957, ""aspect_ratio"": 1.196, ""border_clipped"": true}","{""center_edge_ratio"": 1.12, ""center_edge_diff"": 10.03, ""map_cov"": 0.158}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.8637,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.864 >= 0.7, Min Dimension = 0.575)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.864 >= 0.7, Min Dimension = 0.575))",1.87
aptos_0097f532ac9f,aptos_0097f532ac9f.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.7754,0.629,0.5467,0.6279,0.9246,0.9967,1.0,1.0,"{""var_laplacian"": 13.15, ""laplacian_energy"": 13.15, ""tenengrad"": 59.88, ""sobel_mean"": 6.45}","{""mean"": 53.15, ""median"": 52.0, ""p5"": 37.0, ""p95"": 76.0, ""dark_pct"": 0.95, ""bright_pct"": 0.0}","{""rms"": 12.62, ""grayscale_std"": 12.62, ""spread_p95_p5"": 39.0, ""michelson"": 0.345}","{""residual_std"": 0.83, ""residual_mad"": 0.56, ""local_var_mean"": 2.29}","{""coverage"": 0.913, ""circularity"": 0.918, ""aspect_ratio"": 1.322, ""border_clipped"": true}","{""center_edge_ratio"": 1.207, ""center_edge_diff"": 10.4, ""map_cov"": 0.201}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.7754,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.775 >= 0.7, Min Dimension = 0.547)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.775 >= 0.7, Min Dimension = 0.547))",1.6
aptos_00a8624548a9,aptos_00a8624548a9.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.8348,0.4878,0.939,0.8511,0.9432,1.0,1.0,1.0,"{""var_laplacian"": 4.69, ""laplacian_energy"": 4.69, ""tenengrad"": 66.4, ""sobel_mean"": 6.22}","{""mean"": 98.13, ""median"": 97.0, ""p5"": 85.0, ""p95"": 116.0, ""dark_pct"": 0.74, ""bright_pct"": 0.0}","{""rms"": 14.65, ""grayscale_std"": 14.65, ""spread_p95_p5"": 31.0, ""michelson"": 0.154}","{""residual_std"": 0.62, ""residual_mad"": 0.32, ""local_var_mean"": 2.48}","{""coverage"": 0.751, ""circularity"": 0.932, ""aspect_ratio"": 1.271, ""border_clipped"": true}","{""center_edge_ratio"": 1.104, ""center_edge_diff"": 9.9, ""map_cov"": 0.156}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.8348,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.835 >= 0.7, Min Dimension = 0.488)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.835 >= 0.7, Min Dimension = 0.488))",1.15
aptos_00b74780d31d,aptos_00b74780d31d.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.7995,0.6,0.545,1.0,0.9239,0.9973,0.758,1.0,"{""var_laplacian"": 13.44, ""laplacian_energy"": 13.44, ""tenengrad"": 46.12, ""sobel_mean"": 5.66}","{""mean"": 53.06, ""median"": 53.0, ""p5"": 21.0, ""p95"": 86.0, ""dark_pct"": 1.63, ""bright_pct"": 0.0}","{""rms"": 20.51, ""grayscale_std"": 20.51, ""spread_p95_p5"": 65.0, ""michelson"": 0.607}","{""residual_std"": 0.84, ""residual_mad"": 0.57, ""local_var_mean"": 1.58}","{""coverage"": 0.913, ""circularity"": 0.918, ""aspect_ratio"": 1.322, ""border_clipped"": true}","{""center_edge_ratio"": 0.956, ""center_edge_diff"": 2.39, ""map_cov"": 0.375}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.7995,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.800 >= 0.7, Min Dimension = 0.545)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.800 >= 0.7, Min Dimension = 0.545))",0.97
aptos_00cb6555d108,aptos_00cb6555d108.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.8574,0.6388,0.9068,0.8001,0.9167,1.0,1.0,1.0,"{""var_laplacian"": 9.91, ""laplacian_energy"": 9.91, ""tenengrad"": 123.76, ""sobel_mean"": 9.05}","{""mean"": 77.57, ""median"": 78.0, ""p5"": 58.0, ""p95"": 95.0, ""dark_pct"": 0.7, ""bright_pct"": 0.0}","{""rms"": 14.18, ""grayscale_std"": 14.18, ""spread_p95_p5"": 37.0, ""michelson"": 0.242}","{""residual_std"": 0.92, ""residual_mad"": 0.56, ""local_var_mean"": 3.81}","{""coverage"": 0.839, ""circularity"": 0.927, ""aspect_ratio"": 1.302, ""border_clipped"": true}","{""center_edge_ratio"": 1.119, ""center_edge_diff"": 8.8, ""map_cov"": 0.186}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.8574,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.857 >= 0.7, Min Dimension = 0.639)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.857 >= 0.7, Min Dimension = 0.639))",0.81
