Threshold Name,Metric,Threshold Value,Dataset Percentile,Affected Images,Percentage,Produces Status,Hard Failure,Enhanceable
blur_laplacian_var_min,focus_var_laplacian,< 4.5,P2.49,104,2.49%,CRITICAL,YES,NO (Severe defocus requires recapture)
blur_tenengrad_min,focus_tenengrad,< 50.0,P2.11,88,2.11%,CRITICAL,YES,NO (Severe defocus requires recapture)
blur_combined_hard_fail,focus_var_laplacian & focus_tenengrad,"(4.5, 50.0)",N/A (Joint),10,0.24%,CRITICAL,YES,NO
brightness_mean_min,brightness_mean,< 40.0,P1.15,48,1.15%,CRITICAL,YES,"NO (Signal below sensor floor, irrecoverable)"
brightness_dark_pct_max,brightness_dark_pct,> 18.0,P0.12 above (P99.88),5,0.12%,CRITICAL,YES,NO (Extreme tissue clipping)
brightness_mean_max,brightness_mean,> 140.0,P0.12 above (P99.88),5,0.12%,CRITICAL,YES,"NO (Flash bleaching, lost texture)"
brightness_bright_pct_max,brightness_bright_pct,> 1.2,P0.17 above (P99.83),7,0.17%,CRITICAL,YES,NO (Permanent sensor saturation)
brightness_overexp_combined,brightness_mean & brightness_bright_pct,"(140.0, 1.2)",N/A (Joint),0,0.00%,CRITICAL,YES,NO
illum_map_cov_max,illum_map_cov,> 0.52,P0.24 above (P99.76),10,0.24%,CRITICAL,YES,NO (Severe quadrant shadow / heavy gradient)
illum_center_edge_ratio_max,illum_center_edge_ratio,> 1.75,P0.10 above (P99.90),4,0.10%,CRITICAL,YES,NO (Extreme peripheral blackout)
artifact_sat_pixel_pct_max,artifact_sat_pixel_pct,> 0.5,P0.50 above (P99.50),21,0.50%,CRITICAL,YES,NO
artifact_glare_blob_count_min,artifact_glare_blob_count,>= 5,P0.37 above (P99.63),20,0.48%,CRITICAL,YES,NO
artifact_combined_hard_fail,artifact_sat_pixel_pct & artifact_glare_blob_count,"(0.5, 5)",N/A (Joint),10,0.24%,CRITICAL,YES,NO
fov_retinal_area_min,fov_retinal_area,< 150000,P0.00,0,0.00%,CRITICAL,YES,NO (Extreme low-res or thumbnail)
fov_circularity_min,fov_circularity,< 0.78,P0.00,0,0.00%,CRITICAL,YES,NO (Severe boundary cut-off / distortion)
fov_completeness_min,fov_completeness_ratio,< 0.7,P0.00,0,0.00%,CRITICAL,YES,NO (Aperture severely incomplete)
focus_lap_norm_critical,scale_normalized_laplacian,< 10.0,P3.06,128,3.06%,CRITICAL,NO,PARTIAL (Deconvolution/unsharp mask)
focus_lap_norm_borderline,scale_normalized_laplacian,< 25.0,P8.43,352,8.43%,BORDERLINE,NO,YES (Unsharp masking / Wiener filter)
focus_ten_critical,raw_tenengrad,< 50.0,P2.11,88,2.11%,CRITICAL,NO,PARTIAL
focus_ten_borderline,raw_tenengrad,< 150.0,P36.40,1521,36.40%,BORDERLINE,NO,YES (Edge enhancement)
brightness_mean_severe_under,brightness_mean,< 45.0,P2.25,94,2.25%,CRITICAL,NO,PARTIAL (Gamma curve lift)
brightness_mean_mild_under,brightness_mean,< 70.0,P20.49,856,20.49%,BORDERLINE,NO,"YES (Gamma correction, histogram stretch)"
brightness_mean_optimal_min,brightness_mean,< 70.0,P20.49,856,20.49%,BORDERLINE,NO,YES
brightness_mean_optimal_max,brightness_mean,> 110.0,P10.41 above (P89.59),435,10.41%,BORDERLINE,NO,YES (Gamma compression)
brightness_mean_severe_over,brightness_mean,> 130.0,P0.91 above (P99.09),38,0.91%,CRITICAL,NO,NO (Blanched retina)
brightness_dark_penalty_start,brightness_dark_pct,> 4.0,P7.06 above (P92.94),295,7.06%,BORDERLINE,NO,YES (Shadow lift)
brightness_dark_severe_pct,brightness_dark_pct,> 15.0,P0.36 above (P99.64),15,0.36%,CRITICAL,NO,NO
brightness_bright_penalty_start,brightness_bright_pct,> 0.4,P1.72 above (P98.28),72,1.72%,BORDERLINE,NO,YES (Highlight recovery)
